dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: unit210-2022-274-6-0
the8x3_filename: 06620000
filename_extension: sbd
filename_label: unit210-2022-274-6-0-sbd(06620000)
mission_name: IMOSGO40.MI
fileopen_time: Sun_Oct__2_23:41:41_2022
sensors_per_cycle: 16
num_label_lines: 3
num_segments: 1
segment_filename_0: unit210-2022-274-6-0
c_ballast_pumped c_battpos c_fin c_heading c_pitch m_ballast_pumped m_battpos m_depth m_fin m_gps_lat m_gps_lon m_heading m_pitch m_present_time m_roll m_water_depth
cc in rad rad rad cc in m rad lat lon rad rad timestamp rad m
4 4 4 4 4 4 4 4 4 8 8 4 4 8 4 4
NaN NaN NaN NaN NaN NaN NaN 6.1669 NaN NaN NaN NaN NaN 1664754517.74939 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 3.76745 NaN NaN NaN NaN NaN 1664754531.7775 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 2.8326 NaN NaN NaN NaN NaN 1664754547.16785 NaN NaN
-233 0.792494 0.0287998 1.64808 -0.4538 -231.972 0.766282 4.7023 0.0565096 NaN NaN 1.85179 -0.574213 1664754562.17032 -0.0471239 NaN
NaN NaN NaN NaN NaN NaN NaN 7.16408 NaN NaN NaN NaN NaN 1664754576.64215 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 9.84398 NaN NaN NaN NaN NaN 1664754590.68848 NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1664754595.42923 NaN 32.5085
NaN NaN NaN NaN NaN NaN NaN 12.3681 NaN NaN NaN NaN NaN 1664754604.81821 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 15.4219 NaN NaN NaN NaN NaN 1664754618.84372 NaN NaN
-233 0.76825 0.117719 1.64808 -0.4538 -232.596 0.767487 NaN 0.0910432 NaN NaN 1.56556 -0.427606 1664754623.58066 -0.0663225 NaN
NaN NaN NaN NaN NaN NaN NaN 18.0395 NaN NaN NaN NaN NaN 1664754632.9678 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 20.9064 NaN NaN NaN NaN NaN 1664754647.00986 NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1664754656.39142 NaN 32.2397
NaN NaN NaN NaN NaN NaN NaN 23.9291 NaN NaN NaN NaN NaN 1664754661.12357 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 26.6401 NaN NaN NaN NaN NaN 1664754675.14966 NaN NaN
-233 0.76825 -0.0225672 1.64809 -0.4538 -232.908 0.766282 NaN 0.00941826 NaN NaN 1.7942 -0.420624 1664754684.54153 -0.0523599 NaN
NaN NaN NaN NaN NaN NaN NaN 29.2889 NaN NaN NaN NaN NaN 1664754689.29239 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 30.4419 NaN NaN NaN NaN NaN 1664754703.97565 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 29.2266 NaN NaN NaN NaN NaN 1664754718.35562 NaN 32.9169
NaN NaN NaN NaN NaN NaN NaN 27.762 NaN NaN NaN NaN NaN 1664754732.39032 NaN NaN
233 -0.200482 0.195933 1.64812 0.4538 231.71 -0.189385 25.5183 0.191505 NaN NaN 1.72264 0.507891 1664754746.41 -0.0401426 NaN
NaN NaN NaN NaN NaN NaN NaN 23.3682 NaN NaN NaN NaN NaN 1664754760.44888 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 20.9999 NaN NaN NaN NaN NaN 1664754774.4791 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 19.1302 NaN NaN NaN NaN NaN 1664754788.50455 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 16.7307 NaN NaN NaN NaN NaN 1664754802.52637 NaN NaN
233 -0.165235 0.00287877 1.64806 0.4538 232.022 -0.189385 NaN -0.00627884 NaN NaN 1.71566 0.488692 1664754807.26791 -0.0453786 NaN
NaN NaN NaN NaN NaN NaN NaN 14.7364 NaN NaN NaN NaN NaN 1664754816.64478 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 12.3992 NaN NaN NaN NaN NaN 1664754830.66455 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 10.2802 NaN NaN NaN NaN NaN 1664754844.68021 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 7.8808 NaN NaN NaN NaN NaN 1664754858.70853 NaN NaN
233 -0.165235 0.157227 1.64807 0.4538 232.334 -0.189385 NaN 0.156971 NaN NaN 1.56032 0.450295 1664754868.09195 -0.0575959 NaN
NaN NaN NaN NaN NaN NaN NaN 5.60599 NaN NaN NaN NaN NaN 1664754872.84357 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 3.30002 NaN NaN NaN NaN NaN 1664754887.35629 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 3.45583 NaN NaN NaN NaN NaN 1664754902.57104 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 5.45018 NaN NaN NaN NaN NaN 1664754917.18399 NaN NaN
-233 0.805018 -0.0447696 1.64805 -0.4538 -232.284 0.747 8.00544 -0.0282548 NaN NaN 1.82387 -0.406662 1664754931.23074 -0.0418879 NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1664754940.62775 NaN 32.5827
NaN NaN NaN NaN NaN NaN NaN 10.7788 NaN NaN NaN NaN NaN 1664754945.37778 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 13.4276 NaN NaN NaN NaN NaN 1664754959.40204 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 16.1075 NaN NaN NaN NaN NaN 1664754973.42926 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 18.5693 NaN NaN NaN NaN NaN 1664754987.47015 NaN NaN
-233 0.846221 0.12994 1.64808 -0.4538 -232.596 0.747 NaN 0.182086 NaN NaN 1.63014 -0.453786 1664754992.20612 -0.0541052 NaN
NaN NaN NaN NaN NaN NaN NaN 21.6231 NaN NaN NaN NaN NaN 1664755001.6113 NaN 33.6359
NaN NaN NaN NaN NaN NaN NaN 24.2719 NaN NaN NaN NaN NaN 1664755015.64413 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 27.0764 NaN NaN NaN NaN NaN 1664755029.6626 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 29.6628 NaN NaN NaN NaN NaN 1664755043.69891 NaN NaN
233 -0.189008 0.197298 1.6481 0.4538 -40.6958 -0.168897 NaN 0.141274 NaN NaN 1.34041 0.169297 1664755053.65811 -0.0680678 NaN
NaN NaN NaN NaN NaN NaN NaN 30.6288 NaN NaN NaN NaN NaN 1664755058.52124 NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1664755063.39905 NaN 33.2115
NaN NaN NaN NaN NaN NaN NaN 29.8186 NaN NaN NaN NaN NaN 1664755072.96362 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 27.8554 NaN NaN NaN NaN NaN 1664755086.99683 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 25.7676 NaN NaN NaN NaN NaN 1664755101.01675 NaN NaN
