dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: unit210-2022-274-6-0
the8x3_filename: 06620000
filename_extension: sbd
filename_label: unit210-2022-274-6-0-sbd(06620000)
mission_name: IMOSGO40.MI
fileopen_time: Sun_Oct__2_23:41:41_2022
sensors_per_cycle: 16
num_label_lines: 3
num_segments: 1
segment_filename_0: unit210-2022-274-6-0
c_ballast_pumped c_battpos c_fin c_heading c_pitch m_ballast_pumped m_battpos m_depth m_fin m_gps_lat m_gps_lon m_heading m_pitch m_present_time m_roll m_water_depth
cc in rad rad rad cc in m rad lat lon rad rad timestamp rad m
4 4 4 4 4 4 4 4 4 8 8 4 4 8 4 4
NaN NaN NaN NaN NaN NaN NaN 23.5863 NaN NaN NaN NaN NaN 1664756250.21912 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 21.6543 NaN NaN NaN NaN NaN 1664756264.23459 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 19.7534 NaN NaN NaN NaN NaN 1664756278.25626 NaN NaN
233 -0.146201 -0.00885648 1.64805 0.4538 231.71 -0.137564 NaN -0.0219759 NaN NaN 1.67901 0.434587 1664756282.98883 -0.0401426 NaN
NaN NaN NaN NaN NaN NaN NaN 17.7279 NaN NaN NaN NaN NaN 1664756292.36716 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 15.7024 NaN NaN NaN NaN NaN 1664756306.38391 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 13.5834 NaN NaN NaN NaN NaN 1664756320.40082 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 11.4956 NaN NaN NaN NaN NaN 1664756334.42496 NaN NaN
233 -0.146201 0.156657 1.64808 0.4538 232.022 -0.136359 NaN 0.16325 NaN NaN 1.59349 0.472984 1664756343.81146 -0.0418879 NaN
NaN NaN NaN NaN NaN NaN NaN 9.37656 NaN NaN NaN NaN NaN 1664756348.54974 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 7.13291 NaN NaN NaN NaN NaN 1664756362.56866 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 4.88927 NaN NaN NaN NaN NaN 1664756376.57993 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 2.92608 NaN NaN NaN NaN NaN 1664756391.28973 NaN NaN
-233 0.79882 -0.00198729 1.64809 -0.4538 -231.972 0.79159 4.26604 0.0156971 NaN NaN 1.81514 -0.443314 1664756406.51309 -0.0383972 NaN
NaN NaN NaN NaN NaN NaN NaN 6.85246 NaN NaN NaN NaN NaN 1664756420.77808 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 9.59469 NaN NaN NaN NaN NaN 1664756434.8399 NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1664756439.57944 NaN 35.256
NaN NaN NaN NaN NaN NaN NaN 12.2434 NaN NaN NaN NaN NaN 1664756448.9711 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 15.2661 NaN NaN NaN NaN NaN 1664756463.02011 NaN NaN
-233 0.79882 0.180534 1.64807 -0.4538 -232.284 0.794 NaN 0.191505 NaN NaN 1.47655 -0.42586 1664756467.7533 -0.0645772 NaN
NaN NaN NaN NaN NaN NaN NaN 17.9772 NaN NaN NaN NaN NaN 1664756477.13461 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 20.5948 NaN NaN NaN NaN NaN 1664756491.17468 NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1664756500.55829 NaN 35.3404
NaN NaN NaN NaN NaN NaN NaN 23.524 NaN NaN NaN NaN NaN 1664756505.29385 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 26.2974 NaN NaN NaN NaN NaN 1664756519.30664 NaN NaN
-233 0.79882 0.0106362 1.64806 -0.4538 -232.596 0.792795 NaN 0.0156971 NaN NaN 1.62316 -0.42586 1664756528.69702 -0.0645772 NaN
NaN NaN NaN NaN NaN NaN NaN 29.0708 NaN NaN NaN NaN NaN 1664756533.44095 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 31.7507 NaN NaN NaN NaN NaN 1664756547.48914 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 33.0283 NaN NaN NaN NaN NaN 1664756562.1832 NaN 35.989
NaN NaN NaN NaN NaN NaN NaN 32.2492 NaN NaN NaN NaN NaN 1664756576.56534 NaN NaN
233 -0.137039 0.184253 1.64816 0.4538 232.022 -0.118282 30.473 0.182086 NaN NaN 1.70344 0.47822 1664756590.59286 -0.0366519 NaN
NaN NaN NaN NaN NaN NaN NaN 28.5098 NaN NaN NaN NaN NaN 1664756604.62561 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 26.0481 NaN NaN NaN NaN NaN 1664756618.6506 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 24.49 NaN NaN NaN NaN NaN 1664756632.67654 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 22.4021 NaN NaN NaN NaN NaN 1664756646.70114 NaN NaN
233 -0.137039 -0.00644946 1.6481 0.4538 232.022 -0.117077 NaN -0.00941826 NaN NaN 1.7558 0.462512 1664756651.44513 -0.0488692 NaN
NaN NaN NaN NaN NaN NaN NaN 20.3766 NaN NaN NaN NaN NaN 1664756660.84686 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 18.2265 NaN NaN NaN NaN NaN 1664756674.86673 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 16.5437 NaN NaN NaN NaN NaN 1664756688.88062 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 14.2689 NaN NaN NaN NaN NaN 1664756702.91119 NaN NaN
233 -0.137039 0.00139807 1.64808 0.4538 232.334 -0.117077 NaN -0.00941826 NaN NaN 1.5516 0.431096 1664756712.29092 -0.0436332 NaN
NaN NaN NaN NaN NaN NaN NaN 12.2123 NaN NaN NaN NaN NaN 1664756717.03244 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 10.1556 NaN NaN NaN NaN NaN 1664756731.05933 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 7.94312 NaN NaN NaN NaN NaN 1664756745.07632 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 5.97993 NaN NaN NaN NaN NaN 1664756759.10278 NaN NaN
-233 0.793182 0.145059 1.64811 -0.4538 214.86 0.0685128 3.79861 0.150692 NaN NaN 1.66155 0.424115 1664756773.10782 -0.0506145 NaN
NaN NaN NaN NaN NaN NaN NaN 3.01957 NaN NaN NaN NaN NaN 1664756788.38797 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 4.63998 NaN NaN NaN NaN NaN 1664756803.40225 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 7.28872 NaN NaN NaN NaN NaN 1664756817.84302 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 9.90631 NaN NaN NaN NaN NaN 1664756831.89355 NaN NaN
-233 0.793182 -0.0336969 1.64805 -0.4538 -232.284 0.766282 NaN -0.0313942 NaN NaN 1.58825 -0.42586 1664756836.62888 -0.0506145 35.4291
NaN NaN NaN NaN NaN NaN NaN 12.7732 NaN NaN NaN NaN NaN 1664756846.02551 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 15.4219 NaN NaN NaN NaN NaN 1664756860.04752 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 17.946 NaN NaN NaN NaN NaN 1664756874.0722 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 20.8441 NaN NaN NaN NaN NaN 1664756888.10468 NaN NaN
-233 0.793182 0.0708849 1.64811 -0.4538 -232.596 0.765077 NaN 0.0722067 NaN NaN 1.68773 -0.417134 1664756897.50198 -0.0575959 36.0273
NaN NaN NaN NaN NaN NaN NaN 23.5551 NaN NaN NaN NaN NaN 1664756902.24808 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 26.5778 NaN NaN NaN NaN NaN 1664756916.26035 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 29.1331 NaN NaN NaN NaN NaN 1664756930.28485 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 31.7507 NaN NaN NaN NaN NaN 1664756944.32367 NaN NaN
233 -0.117386 0.213797 1.64815 0.4538 -41.0078 -0.0977949 34.2124 0.182086 NaN NaN 1.25838 0.158825 1664756958.86218 -0.0558505 36.3148
NaN NaN NaN NaN NaN NaN NaN 33.4022 NaN NaN NaN NaN NaN 1664756973.27216 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 31.7507 NaN NaN NaN NaN NaN 1664756987.37244 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 29.9433 NaN NaN NaN NaN NaN 1664757001.40234 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 28.1982 NaN NaN NaN NaN NaN 1664757015.44733 NaN NaN
233 -0.117386 0.0318382 1.64816 0.4538 231.71 -0.106231 NaN 0.0408125 NaN NaN 1.81863 0.469494 1664757020.18808 -0.0418879 NaN
NaN NaN NaN NaN NaN NaN NaN 26.3285 NaN NaN NaN NaN NaN 1664757029.58286 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 24.116 NaN NaN NaN NaN NaN 1664757043.61456 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 22.184 NaN NaN NaN NaN NaN 1664757057.64203 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 20.3766 NaN NaN NaN NaN NaN 1664757071.65686 NaN NaN
233 -0.117386 0.00454588 1.6481 0.4538 232.334 -0.106231 NaN 0.00941826 NaN NaN 1.71566 0.427606 1664757081.04291 -0.0471239 NaN
NaN NaN NaN NaN NaN NaN NaN 18.1953 NaN NaN NaN NaN NaN 1664757085.79163 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 16.3568 NaN NaN NaN NaN NaN 1664757099.8158 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 14.3001 NaN NaN NaN NaN NaN 1664757113.8298 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 12.2123 NaN NaN NaN NaN NaN 1664757127.85135 NaN NaN
233 -0.117386 0.00454588 1.64809 0.4538 232.646 -0.106231 10.2491 0.00627884 NaN NaN 1.56032 0.471239 1664757141.8584 -0.0593412 NaN
NaN NaN NaN NaN NaN NaN NaN 8.06777 NaN NaN NaN NaN NaN 1664757155.89853 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 6.10458 NaN NaN NaN NaN NaN 1664757169.92215 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 4.17255 NaN NaN NaN NaN NaN 1664757183.95023 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 3.11305 NaN NaN NaN NaN NaN 1664757199.03564 NaN NaN
-233 0.765825 0.0311383 1.64812 -0.4538 -167.693 0.737359 NaN 0.0251154 NaN NaN 1.7558 -0.218166 1664757204.15747 -0.0279253 NaN
NaN NaN NaN NaN NaN NaN NaN 4.82695 NaN NaN NaN NaN NaN 1664757214.14136 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 7.10175 NaN NaN NaN NaN NaN 1664757228.58127 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 9.68817 NaN NaN NaN NaN NaN 1664757242.63013 NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1664757247.37045 NaN 35.7111
NaN NaN NaN NaN NaN NaN NaN 12.3058 NaN NaN NaN NaN NaN 1664757256.75742 NaN NaN
-233 0.902066 0.0548986 1.64807 -0.4538 -232.284 0.738564 NaN 0.0408125 NaN NaN 1.58127 -0.387463 1664757266.14359 -0.0558505 NaN
NaN NaN NaN NaN NaN NaN NaN 14.861 NaN NaN NaN NaN NaN 1664757270.89175 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 17.6967 NaN NaN NaN NaN NaN 1664757284.92166 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 20.4078 NaN NaN NaN NaN NaN 1664757298.96115 NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1664757308.3541 NaN 36.0592
NaN NaN NaN NaN NaN NaN NaN 23.8667 NaN NaN NaN NaN NaN 1664757313.09314 NaN NaN
-233 0.950039 0.0584261 1.64811 -0.4538 -232.908 0.945846 27.2322 0.059649 NaN NaN 1.63712 -0.469494 1664757327.11676 -0.0628319 NaN
NaN NaN NaN NaN NaN NaN NaN 30.3795 NaN NaN NaN NaN NaN 1664757341.14859 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 33.6204 NaN NaN NaN NaN NaN 1664757355.58215 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 33.745 NaN NaN NaN NaN NaN 1664757370.00165 NaN 35.9204
NaN NaN NaN NaN NaN NaN NaN 32.7167 NaN NaN NaN NaN NaN 1664757384.24066 NaN NaN
233 -0.106045 0.0347525 1.64822 0.4538 231.398 -0.0905641 NaN 0.131856 NaN NaN 1.69122 0.404916 1664757388.97623 -0.0349066 NaN
NaN NaN NaN NaN NaN NaN NaN 31.0028 NaN NaN NaN NaN NaN 1664757398.37119 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 28.9149 NaN NaN NaN NaN NaN 1664757412.38141 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 27.2011 NaN NaN NaN NaN NaN 1664757426.40485 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 25.2379 NaN NaN NaN NaN NaN 1664757440.42041 NaN NaN
233 -0.106045 0.0347525 1.6482 0.4538 231.71 -0.0905641 NaN 0.0313942 NaN NaN 1.64585 0.427606 1664757449.81116 -0.0471239 NaN
NaN NaN NaN NaN NaN NaN NaN 23.4305 NaN NaN NaN NaN NaN 1664757454.55746 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 21.2803 NaN NaN NaN NaN NaN 1664757468.57654 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 19.4729 NaN NaN NaN NaN NaN 1664757482.58948 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 17.3228 NaN NaN NaN NaN NaN 1664757496.6055 NaN NaN
233 -0.106045 0.0347525 1.64821 0.4538 231.71 -0.0905641 15.4531 0.0313942 NaN NaN 1.60221 0.408407 1664757510.61719 -0.0418879 NaN
NaN NaN NaN NaN NaN NaN NaN 13.4276 NaN NaN NaN NaN NaN 1664757524.63873 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 11.6514 NaN NaN NaN NaN NaN 1664757538.66165 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 9.3454 NaN NaN NaN NaN NaN 1664757552.67981 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 7.47569 NaN NaN NaN NaN NaN 1664757566.71994 NaN NaN
233 -0.106045 0.0929334 1.64825 0.4538 232.334 -0.0905641 NaN 0.0941826 NaN NaN 1.51146 0.443314 1664757571.46262 -0.0488692 NaN
NaN NaN NaN NaN NaN NaN NaN 5.45018 NaN NaN NaN NaN NaN 1664757580.84726 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 3.45583 NaN NaN NaN NaN NaN 1664757595.36633 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 3.92326 NaN NaN NaN NaN NaN 1664757610.37238 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 5.85528 NaN NaN NaN NaN NaN 1664757624.9733 NaN NaN
-233 0.818041 -0.102514 1.64825 -0.4538 -232.284 0.848231 NaN -0.10674 NaN NaN 1.82911 -0.47473 1664757634.37762 -0.0383972 NaN
NaN NaN NaN NaN NaN NaN NaN 8.47287 NaN NaN NaN NaN NaN 1664757639.13 NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1664757648.51212 NaN 35.3854
NaN NaN NaN NaN NaN NaN NaN 11.2774 NaN NaN NaN NaN NaN 1664757653.2644 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 14.4559 NaN NaN NaN NaN NaN 1664757667.29248 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 17.2916 NaN NaN NaN NaN NaN 1664757681.33072 NaN NaN
-233 0.818041 0.120371 1.6483 -0.4538 -232.596 0.848231 20.4078 0.116159 NaN NaN 1.66679 -0.453786 1664757695.35822 -0.0628319 NaN
NaN NaN NaN NaN NaN NaN NaN 22.9942 NaN NaN NaN NaN NaN 1664757709.41766 NaN 35.7872
NaN NaN NaN NaN NaN NaN NaN 26.2039 NaN NaN NaN NaN NaN 1664757723.43405 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 29.0708 NaN NaN NaN NaN NaN 1664757737.85794 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 29.6317 NaN NaN NaN NaN NaN 1664757752.32233 NaN NaN
233 -0.0903169 0.235945 1.64831 0.4538 191.457 -0.0785128 NaN 0.222899 NaN NaN 1.4399 0.298451 1664757757.17395 -0.0366519 NaN
NaN NaN NaN NaN NaN NaN NaN 28.0424 NaN NaN NaN NaN NaN 1664757766.70038 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 26.5155 NaN NaN NaN NaN NaN 1664757780.73904 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 24.7704 NaN NaN NaN NaN NaN 1664757794.7706 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 23.0254 NaN NaN NaN NaN NaN 1664757808.7789 NaN NaN
233 -0.123991 0.0224151 1.64831 0.4538 231.398 -0.0773077 NaN 0.059649 NaN NaN 1.77849 0.42586 1664757818.20981 -0.0471239 NaN
NaN NaN NaN NaN NaN NaN NaN 20.9064 NaN NaN NaN NaN NaN 1664757822.95895 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 19.1925 NaN NaN NaN NaN NaN 1664757836.97525 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 17.167 NaN NaN NaN NaN NaN 1664757850.9928 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 15.0168 NaN NaN NaN NaN NaN 1664757865.00818 NaN NaN
233 -0.123991 0.00135459 1.64826 0.4538 231.71 -0.0761026 13.0536 -0.00941826 NaN NaN 1.65806 0.411898 1664757879.0285 -0.0418879 NaN
NaN NaN NaN NaN NaN NaN NaN 11.2463 NaN NaN NaN NaN NaN 1664757893.0571 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 9.31423 NaN NaN NaN NaN NaN 1664757907.07523 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 7.50685 NaN NaN NaN NaN NaN 1664757921.09085 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 5.57483 NaN NaN NaN NaN NaN 1664757935.1152 NaN NaN
233 -0.200896 0.14111 1.64828 0.4538 232.334 -0.0761026 NaN 0.141274 NaN NaN 1.64061 0.357792 1664757939.87012 -0.0436332 NaN
NaN NaN NaN NaN NaN NaN NaN 3.58048 NaN NaN NaN NaN NaN 1664757949.25098 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 1.58613 NaN NaN NaN NaN NaN 1664757963.87662 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 1.71078 NaN NaN NaN NaN NaN 1664757978.13605 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 1.08754 NaN NaN NaN NaN NaN 1664757992.37546 NaN NaN
233 1.425 0 1.64829 0.4538 232.334 1.47249 NaN -0.0125577 NaN NaN 1.4556 -0.363028 1664758001.90204 -0.0401426 NaN
NaN NaN NaN NaN NaN NaN NaN 0 NaN NaN NaN NaN NaN 1664758006.7536 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 0 NaN NaN NaN NaN NaN 1664758020.95349 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 0 NaN NaN NaN NaN NaN 1664758035.18805 NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN -3209.7205 15233.6459 NaN NaN 1664758039.9827 NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN -3209.719 15233.6446 NaN NaN 1664758044.87308 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 0.0280455 NaN -3209.7192 15233.6451 NaN NaN 1664758049.7529 NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN -3209.7177 15233.6441 NaN NaN 1664758059.74524 NaN NaN
233 1.425 0 NaN NaN 232.646 1.47128 0 0.00941826 NaN NaN 2.53073 -0.0593412 1664758064.84131 -0.0767945 -1
NaN NaN NaN NaN NaN NaN NaN NaN NaN -3209.7165 15233.644 NaN NaN 1664758069.85504 NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN -3209.7157 15233.6438 NaN NaN 1664758074.94879 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 0 NaN -3209.7148 15233.6433 NaN NaN 1664758080.03052 NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN -3209.7142 15233.6432 NaN NaN 1664758085.11978 NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN -3209.7136 15233.6426 NaN NaN 1664758090.20767 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 0 NaN -3209.7134 15233.6421 NaN NaN 1664758095.30042 NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN -3209.713 15233.642 NaN NaN 1664758100.39175 NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN -3209.7122 15233.6416 NaN NaN 1664758105.47458 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 0.0903689 NaN NaN NaN NaN NaN 1664758110.56815 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 0.246177 NaN NaN NaN NaN NaN 1664758115.59244 NaN NaN
233 1.425 0 NaN NaN 232.646 1.47128 NaN 0.00313942 NaN NaN 2.72271 -0.0785398 1664758128.13275 -0.356047 NaN
NaN NaN NaN NaN NaN NaN NaN 0 NaN NaN NaN NaN NaN 1664758138.07111 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 0 NaN NaN NaN NaN NaN 1664758154.89151 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 0 NaN NaN NaN NaN NaN 1664758169.96915 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 0 NaN NaN NaN NaN NaN 1664758185.06741 NaN NaN
